Molecule Name,AI Confidence,Breadth Score,Local Score
molecule_523,-3.3141210079193115,-6.9,2.2
molecule_524,-2.173635244369507,-6.8,-3.8
molecule_525,-3.3701624870300293,-6.7,-1.4
molecule_526,-2.303011417388916,-7.5,0.8
molecule_527,-1.611810326576233,-6.9,-3.8
molecule_528,-1.3579764366149902,-6.1,-5.9
molecule_529,-3.614663600921631,-7.1,1.0
molecule_530,-3.1167209148406982,-7.1,-1.0
molecule_531,-3.055344343185425,-6.7,-0.8
molecule_532,-2.901876449584961,-5.4,-3.1
molecule_533,-2.612614154815674,-5.5,-3.6
molecule_534,-3.1397976875305176,-7.6,-1.3
molecule_535,-3.2464828491210938,-6.2,-2.7
molecule_536,-1.4855268001556396,-6.5,-0.0
molecule_537,-4.281670570373535,-8.1,-2.4
molecule_538,-2.1601250171661377,-6.7,-6.3
molecule_539,-1.5135343074798584,-6.6,-5.0
molecule_540,-3.375429630279541,-6.4,-2.3
molecule_541,-3.4730966091156006,-6.7,-4.1
molecule_542,-2.748716115951538,-5.9,-1.0
molecule_543,-3.0087289810180664,-7.1,0.3
molecule_544,-1.8155955076217651,-6.5,-3.1
molecule_545,-2.858433485031128,-6.4,2.8
molecule_546,-2.1894752979278564,-6.5,-4.2
molecule_549,-3.167175531387329,-7.0,-1.6
molecule_550,-2.754070997238159,-6.7,-2.8
molecule_551,-2.3718950748443604,-7.0,-1.8
molecule_552,-1.5529958009719849,-5.9,-4.0
molecule_553,-1.931613802909851,-6.8,-3.3
molecule_554,-1.3260122537612915,-6.5,-4.2
molecule_555,-1.6930733919143677,-5.9,-4.8
molecule_556,-2.5674374103546143,-7.1,-3.4
molecule_557,-3.025021553039551,-7.0,-4.0
molecule_558,-1.7456694841384888,-5.4,-5.4
molecule_559,-2.592907667160034,-6.5,-1.8
molecule_560,-2.144251585006714,-6.3,-4.9
molecule_561,-1.073561429977417,-5.7,-6.0
molecule_562,-1.9321341514587402,-6.2,-4.9
molecule_563,-1.8639410734176636,-6.2,-6.2
molecule_564,-1.7523695230484009,-6.4,-0.5
molecule_565,-0.9813430309295654,-6.2,-4.5
molecule_566,-3.4914329051971436,-6.8,-1.4
